time,increased,absolute,final,,,
2015-09-13 05:45:42,686,686,5630,4944.7857142857,4944,
2015-09-13 06:45:07,2417,3103,8047,,,
2015-09-13 07:17:24,1489,4592,9536,,,
2015-09-13 08:31:21,5543,10135,15079,,,
2015-09-13 09:45:05,6140,16275,21219,,,
2015-09-13 10:45:16,2926,19201,24145,,,
2015-09-13 11:31:44,1854,21055,25999,,,64283
2015-09-13 12:28:25,1829,22884,27828,,,
2015-09-13 13:34:30,7477,30361,35305,,,
2015-09-13 14:31:19,8076,38437,43381,,,
2015-09-13 15:40:12,7554,45991,50935,,,
2015-09-13 16:20:17,8840,54831,59775,,,
2015-09-13 17:40:26,12378,67209,72153,,,
2015-09-13 18:35:09,11273,78482,83426,,,
2015-09-13 19:43:40,69227,147709,147709,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Exit Towards,,,
Rokdoba ,5,,Shalimar,,,
Amardham,5,,Dwarka,,,
Lami,8,,Dwarka,,,
Kothawde,6.5,,Dwarka,,,
Gharpure,3.5,,Dongre Vasati Gruh,,,
